NAME_2,elev_mean,elev_min,elev_max,elev_sd,mean_temp,annual_precip,temp_seasonality,precip_seasonality,temp_range,tree_cover_mean,tree_cover_sd
Agar Malwa,435.43634033203125,326,523,45.43792724609375,26.08629035949707,896.315185546875,499.20806884765625,147.92832946777344,32.077266693115234,0.029489321634173393,0.04083994776010513
Alirajpur,320.0857238769531,70,757,85.00163269042969,26.456592559814453,842.38922119140625,392.1607666015625,142.39627075195313,28.32001495361328,0.12607727944850922,0.19758100807666779
Anuppur,539.7091064453125,451,1092,53.70680618286133,24.856107711791992,1210.6336669921875,514.43170166015625,138.4162139892578,30.339723587036133,0.21693432331085205,0.2606501877307892
Ashoknagar,453.2222595214844,332,537,40.813838958740234,25.539199829101563,957.45111083984375,568.92230224609375,150.3778839111328,33.204345703125,0.025972818955779076,0.060452669858932495
Balaghat,471.96270751953125,262,911,152.4049530029297,25.19280242919922,1420.4415283203125,482.56927490234375,143.6198272705078,29.730836868286133,0.521213948726654,0.40143001079559326
Barwani,375.7124328613281,87,984,154.81448364257813,26.688274383544922,728.58697509765625,397.2369079589844,131.88235473632813,29.233062744140625,0.023514773696660995,0.04336688295006752
Betul,605.51416015625,315,1130,129.5185546875,25.115985870361328,1125.8179931640625,441.5181579589844,133.99082946777344,29.08919906616211,0.260377436876297,0.32216599583625793
Bhind,151.61920166015625,108,241,11.131050109863281,25.916011810302734,861.633544921875,690.826416015625,144.78550720214844,35.612491607666016,0.03607359156012535,0.11219784617424011
Bhopal,484.3858947753906,420,615,28.728559494018555,25.728023529052734,1051.74365234375,509.7044372558594,148.81338500976563,31.66975975036621,0.055831000208854675,0.10745999962091446
Burhanpur,370.09588623046875,224,763,111.7474365234375,26.75876235961914,893.697509765625,426.4416198730469,129.37997436523438,28.958274841308594,0.16358137130737305,0.19951105117797852
Chhatarpur,287.1615295410156,104,547,100.54437255859375,25.694705963134766,1066.77294921875,613.5098876953125,147.11170959472656,33.829132080078125,0.08551289886236191,0.18241655826568604
Chhindwara,642.11376953125,317,1201,150.3011474609375,24.762853622436523,1165.752685546875,464.664306640625,131.1483612060547,29.774065017700195,0.20467112958431244,0.2755623757839203
Damoh,393.52203369140625,305,708,63.91676712036133,25.60209083557129,1153.4029541015625,561.424072265625,145.86756896972656,32.879180908203125,0.04402778297662735,0.10965856909751892
Datia,190.89593505859375,127,272,23.857492446899414,25.996238708496094,923.25836181640625,669.1177978515625,145.83912658691406,35.346378326416016,0.04015003517270088,0.10765346139669418
Dewas,417.50726318359375,170,746,108.35981750488281,26.051219940185547,1027.5599365234375,476.1629943847656,140.8502655029297,31.037500381469727,0.15682032704353333,0.25111740827560425
Dhar,389.771484375,90,721,149.2197265625,26.176321029663086,843.2208251953125,426.5171813964844,137.07974243164063,30.21614646911621,0.031522464007139206,0.061951473355293274
Dindori,754.39788818359375,502,1110,106.39183807373047,23.627586364746094,1329.1285400390625,501.76177978515625,139.36395263671875,31.08403778076172,0.3497915267944336,0.36915937066078186
East Nimar,317.3167724609375,156,703,71.635345458984375,26.83488655090332,1061.456298828125,451.0928649902344,139.2786865234375,29.896989822387695,0.13620147109031677,0.23259955644607544
Guna,443.4136657714844,306,537,44.30461883544922,25.779422760009766,924.39019775390625,549.68536376953125,155.0152587890625,32.769981384277344,0.05396564304828644,0.11705049872398376
Gwalior,255.03260803222656,148,422,58.48680877685547,25.634193420410156,935.01043701171875,661.25341796875,147.60049438476563,34.92654037475586,0.05227116867899895,0.12419983744621277
Harda,347.5855712890625,246,721,93.62633514404297,26.316904067993164,1253.6795654296875,475.5257263183594,143.6222686767578,30.26906967163086,0.18047600984573364,0.27592575550079346
Hoshangabad,386.39605712890625,271,1216,131.5724639892578,25.89749526977539,1282.8306884765625,489.386962890625,147.69090270996094,29.962434768676758,0.3021882474422455,0.38464081287384033
Indore,542.3890380859375,293,794,49.917091369628906,25.140195846557617,973.635986328125,458.0337829589844,138.87551879882813,31.014524459838867,0.0913429856300354,0.18178299069404602
Jabalpur,434.8175048828125,331,752,73.58467102050781,25.13617706298828,1235.9735107421875,542.54046630859375,145.41220092773438,32.62406921386719,0.1275959461927414,0.21010121703147888
Jhabua,385.3475646972656,222,543,62.704307556152344,26.225942611694336,866.053466796875,414.56536865234375,142.1687774658203,29.83973503112793,0.029248040169477463,0.04751170426607132
Katni,417.88134765625,322,668,48.739837646484375,25.1618709564209,1170.935302734375,567.6358642578125,147.646484375,32.97898864746094,0.1473890244960785,0.2584347724914551
Mandla,548.88970947265625,387,893,86.614288330078125,24.592721939086914,1402.8140869140625,512.1011962890625,145.24542236328125,32.021095275878906,0.30137336254119873,0.33556583523750305
Mandsaur,437.0370788574219,345,553,33.04587173461914,25.843624114990234,862.50537109375,515.43841552734375,151.17208862304688,31.87001609802246,0.022646548226475716,0.0478922501206398
Morena,193.91665649414063,108,420,51.79536819458008,25.74502944946289,822.0660400390625,680.607177734375,152.12704467773438,35.1168327331543,0.027566371485590935,0.0771014466881752
Narsimhapur,394.7733154296875,304,901,82.90046691894531,25.646724700927734,1137.4129638671875,515.8663330078125,139.99517822265625,31.12828254699707,0.1577128767967224,0.24619907140731812
Neemuch,465.8468933105469,363,596,44.530555725097656,25.70857048034668,845.366455078125,527.75750732421875,152.10916137695313,31.250930786132813,0.030861027538776398,0.06847573071718216
Panna,362.3978576660156,126,616,88.3366470336914,25.431238174438477,1112.9119873046875,593.822998046875,145.11090087890625,33.38131332397461,0.11619238555431366,0.2185908704996109
Raisen,439.9834289550781,294,689,82.32794952392578,25.858802795410156,1239.157470703125,511.2300720214844,149.1951446533203,31.207075119018555,0.14327822625637054,0.23031017184257507
Rajgarh,425.50396728515625,322,541,29.140453338623047,26.279762268066406,975.6968994140625,505.0653381347656,150.794677734375,32.00899124145508,0.027242962270975113,0.0672820508480072
Ratlam,457.6786193847656,278,596,51.30397033691406,25.725839614868164,942.34912109375,456.7692565917969,146.20602416992188,31.564834594726563,0.02790866233408451,0.04682844504714012
Rewa,288.8736572265625,97,657,94.87125396728516,25.57668685913086,1017.4098510742188,600.9058837890625,141.66148376464844,32.733253479003906,0.10243157297372818,0.1994359940290451
Sagar,460.53448486328125,342,636,50.804019927978516,25.558828353881836,1184.1363525390625,541.7286376953125,147.4934539794922,32.31026077270508,0.08110620081424713,0.1550016552209854
Satna,357.6274108886719,133,668,75.6230239868164,25.358558654785156,1052.4041748046875,594.82177734375,141.8376922607422,32.85348892211914,0.1243477389216423,0.2281000167131424
Sehore,444.222900390625,271,644,87.66925048828125,25.949174880981445,1141.3865966796875,491.61181640625,146.4714813232422,31.26808738708496,0.08140719681978226,0.1581975668668747
Seoni,533.847900390625,326,901,80.78398132324219,25.08230209350586,1186.70654296875,487.4082946777344,132.68310546875,30.858970642089844,0.2084164172410965,0.3272687792778015
Shahdol,532.00372314453125,250,1132,172.11947631835938,24.773029327392578,1160.3189697265625,537.96820068359375,140.78387451171875,31.349271774291992,0.2802814841270447,0.30725646018981934
Shajapur,459.85687255859375,399,541,20.845561981201172,25.88576889038086,1044.441162109375,494.3348388671875,146.0528106689453,31.934383392333984,0.02318812720477581,0.0375400111079216
Sheopur,302.8847351074219,149,513,82.1620101928711,25.775178909301758,800.17266845703125,624.1539306640625,160.1647491455078,34.05302810668945,0.1367456316947937,0.2530442476272583
Shivpuri,379.4258117675781,200,512,71.1402359008789,25.53980827331543,880.653564453125,611.1534423828125,149.9988555908203,34.11427307128906,0.04726110026240349,0.11213222146034241
Sidhi,366.4522399902344,194,730,96.37557220458984,25.315229415893555,1074.040283203125,578.1915283203125,141.934814453125,31.676538467407227,0.3669215738773346,0.35921162366867065
Singrauli,360.0815734863281,178,778,82.07923126220703,25.372169494628906,1045.6737060546875,571.9532470703125,138.29342651367188,31.332836151123047,0.25175073742866516,0.3169425129890442
Tikamgarh,287.8430480957031,164,396,45.83002853393555,25.869094848632813,949.7022705078125,620.51043701171875,146.0165557861328,34.24524688720703,0.026505887508392334,0.04712668061256409
Ujjain,489.69915771484375,421,561,19.158679962158203,25.478809356689453,907.69903564453125,472.7898254394531,140.6310272216797,31.900007247924805,0.01975220814347267,0.03584245964884758
Umaria,462.1216735839844,320,924,81.486053466796875,25.003849029541016,1157.1630859375,562.17633056640625,144.54718017578125,32.43621063232422,0.37274736166000366,0.3707755208015442
Vidisha,452.003173828125,380,591,40.51660919189453,25.77687644958496,1040.9439697265625,538.991455078125,152.24285888671875,32.47623062133789,0.03388546034693718,0.09654268622398376
West Nimar,320.85577392578125,126,909,149.55223083496094,26.893800735473633,835.455322265625,436.21844482421875,133.90135192871094,30.092100143432617,0.05771363154053688,0.13545596599578857
